fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
2814799999,28,147,NCNTY28147N28147,"Walthall County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2814799999,Walthall County
2814999999,28,149,NCNTY28149N28149,"Warren County, MS",19200,21950,24700,27400,29600,31800,34000,36200,46050,52600,59200,65750,71000,76300,81550,86800,2814999999,Warren County
2815199999,28,151,NCNTY28151N28151,"Washington County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2815199999,Washington County
2815399999,28,153,NCNTY28153N28153,"Wayne County, MS",17650,20150,22650,25150,27200,29200,31200,33200,42250,48300,54300,60350,65200,70000,74850,79700,2815399999,Wayne County
2815599999,28,155,NCNTY28155N28155,"Webster County, MS",18550,21200,23850,26450,28600,30700,32800,34950,44450,50800,57150,63500,68550,73650,78700,83800,2815599999,Webster County
2815799999,28,157,NCNTY28157N28157,"Wilkinson County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2815799999,Wilkinson County
2815999999,28,159,NCNTY28159N28159,"Winston County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2815999999,Winston County
2816199999,28,161,NCNTY28161N28161,"Yalobusha County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2816199999,Yalobusha County
2816399999,28,163,METRO27140N28163,"Yazoo County, MS HUD Metro FMR Area",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2816399999,Yazoo County
2900199999,29,1,NCNTY29001N29001,"Adair County, MO",21700,24800,27900,31000,33500,36000,38450,40950,52100,59500,66950,74400,80350,86300,92250,98200,2900199999,Adair County
2900399999,29,3,METRO41140M41140,"St. Joseph, MO-KS MSA",22550,25750,28950,32150,34750,37300,39900,42450,54000,61750,69450,77150,83350,89500,95700,101850,2900399999,Andrew County
2900599999,29,5,NCNTY29005N29005,"Atchison County, MO",21700,24800,27900,30950,33450,35950,38400,40900,52000,59400,66850,74300,80200,86150,92100,98050,2900599999,Atchison County
2900799999,29,7,NCNTY29007N29007,"Audrain County, MO",19950,22800,25650,28500,30800,33100,35350,37650,47900,54700,61550,68400,73850,79350,84800,90300,2900799999,Audrain County
2900999999,29,9,NCNTY29009N29009,"Barry County, MO",19350,22100,24850,27600,29850,32050,34250,36450,46350,53000,59600,66250,71550,76850,82150,87450,2900999999,Barry County
2901199999,29,11,NCNTY29011N29011,"Barton County, MO",19350,22100,24850,27600,29850,32050,34250,36450,46350,53000,59600,66250,71550,76850,82150,87450,2901199999,Barton County
2901399999,29,13,METRO28140N29013,"Bates County, MO HUD Metro FMR Area",20550,23450,26400,29300,31650,34000,36350,38700,49200,56250,63300,70300,75950,81550,87200,92800,2901399999,Bates County
