fips2000,State,County,CBSASub,Areaname,fips2010,lim50_15p1,lim50_15p2,lim50_15p3,lim50_15p4,lim50_15p5,lim50_15p6,lim50_15p7,lim50_15p8,lim120_15p1,lim120_15p2,lim120_15p3,lim120_15p4,lim120_15p5,lim120_15p6,lim120_15p7,lim120_15p8,name
2300348960,23,3,NCNTY23003N23003,"Aroostook County, ME",2300348960,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,New Limerick town
2300349415,23,3,NCNTY23003N23003,"Aroostook County, ME",2300349415,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,New Sweden town
2300353602,23,3,NCNTY23003N23003,"Aroostook County, ME",2300353602,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Northwest Aroostook UT
2300354385,23,3,NCNTY23003N23003,"Aroostook County, ME",2300354385,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Oakfield town
2300355435,23,3,NCNTY23003N23003,"Aroostook County, ME",2300355435,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Orient town
2300356205,23,3,NCNTY23003N23003,"Aroostook County, ME",2300356205,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Oxbow plantation
2300357936,23,3,NCNTY23003N23003,"Aroostook County, ME",2300357936,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Penobscot Indian Island Reservation
2300358060,23,3,NCNTY23003N23003,"Aroostook County, ME",2300358060,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Perham town
2300360300,23,3,NCNTY23003N23003,"Aroostook County, ME",2300360300,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Portage Lake town
2300360825,23,3,NCNTY23003N23003,"Aroostook County, ME",2300360825,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Presque Isle city
2300362400,23,3,NCNTY23003N23003,"Aroostook County, ME",2300362400,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Reed plantation
2300364780,23,3,NCNTY23003N23003,"Aroostook County, ME",2300364780,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,St. Agatha town
2300365025,23,3,NCNTY23003N23003,"Aroostook County, ME",2300365025,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,St. Francis town
2300365200,23,3,NCNTY23003N23003,"Aroostook County, ME",2300365200,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,St. John plantation
2300367790,23,3,NCNTY23003N23003,"Aroostook County, ME",2300367790,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Sherman town
2300369260,23,3,NCNTY23003N23003,"Aroostook County, ME",2300369260,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Smyrna town
2300369930,23,3,NCNTY23003N23003,"Aroostook County, ME",2300369930,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,South Aroostook UT
2300373472,23,3,NCNTY23003N23003,"Aroostook County, ME",2300373472,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Square Lake UT
2300374405,23,3,NCNTY23003N23003,"Aroostook County, ME",2300374405,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Stockholm town
2300378570,23,3,NCNTY23003N23003,"Aroostook County, ME",2300378570,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Van Buren town
2300379270,23,3,NCNTY23003N23003,"Aroostook County, ME",2300379270,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Wade town
2300379865,23,3,NCNTY23003N23003,"Aroostook County, ME",2300379865,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Wallagrass town
2300380285,23,3,NCNTY23003N23003,"Aroostook County, ME",2300380285,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Washburn town
2300382770,23,3,NCNTY23003N23003,"Aroostook County, ME",2300382770,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Westfield town
2300383540,23,3,NCNTY23003N23003,"Aroostook County, ME",2300383540,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Westmanland town
2300383785,23,3,NCNTY23003N23003,"Aroostook County, ME",2300383785,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Weston town
2300386865,23,3,NCNTY23003N23003,"Aroostook County, ME",2300386865,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Winterville plantation
